word,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
indulged,0.4444444444444444,0.1111111111111111,0.4444444444444444
indulgence,0.36363636363636365,0.45454545454545453,0.18181818181818182
inevitable,0.3076923076923077,0.15384615384615385,0.5384615384615384
inevitably,0.25,0.375,0.375
inexcusable,0.25,0.25,0.5
infatuation,0.5,0.25,0.25
inferior,0.5517241379310345,0.3103448275862069,0.13793103448275862
inferiority,0.5555555555555556,0.2222222222222222,0.2222222222222222
infinitely,0.56,0.28,0.16
inflicting,0.3333333333333333,0.3333333333333333,0.3333333333333333
influence,0.4,0.3333333333333333,0.26666666666666666
influenced,0.2222222222222222,0.5555555555555556,0.2222222222222222
information,0.4523809523809524,0.14285714285714285,0.40476190476190477
informed,0.11764705882352941,0.17647058823529413,0.7058823529411765
ingenious,0.5,0.25,0.25
ingenuity,0.5,0.25,0.25
ingratitude,0.5,0.16666666666666666,0.3333333333333333
inheriting,0.3333333333333333,0.3333333333333333,0.3333333333333333
injured,0.25,0.0625,0.6875
injuries,0.25,0.25,0.5
injustice,0.3333333333333333,0.25,0.4166666666666667
inquired,0.25,0.25,0.5
inquiries,0.4,0.05,0.55
inquiry,0.36363636363636365,0.030303030303030304,0.6060606060606061
insensibility,0.5,0.25,0.25
insensible,0.2857142857142857,0.21428571428571427,0.5
insipid,0.25,0.25,0.5
insisted,0.2857142857142857,0.14285714285714285,0.5714285714285714
insolence,0.3333333333333333,0.16666666666666666,0.5
inspire,0.25,0.25,0.5
inspired,0.3333333333333333,0.3333333333333333,0.3333333333333333
instance,0.47368421052631576,0.15789473684210525,0.3684210526315789
instead,0.4716981132075472,0.2830188679245283,0.24528301886792453
instruction,0.25,0.25,0.5
instrument,0.7,0.06666666666666667,0.23333333333333334
insufficient,0.25,0.25,0.5
insulted,0.3333333333333333,0.3333333333333333,0.3333333333333333
integrity,0.14285714285714285,0.14285714285714285,0.7142857142857143
intelligence,0.34285714285714286,0.17142857142857143,0.4857142857142857
intelligent,0.4444444444444444,0.4444444444444444,0.1111111111111111
intelligible,0.7333333333333333,0.2,0.06666666666666667
intended,0.4444444444444444,0.19444444444444445,0.3611111111111111
intending,0.5,0.125,0.375
intention,0.35,0.35,0.3
intercourse,0.5,0.4583333333333333,0.041666666666666664
interest,0.3484848484848485,0.32575757575757575,0.32575757575757575
interested,0.5,0.10714285714285714,0.39285714285714285
interesting,0.5172413793103449,0.22413793103448276,0.25862068965517243
interests,0.4,0.4,0.2
interference,0.5333333333333333,0.4,0.06666666666666667
interposed,0.25,0.25,0.5
interrupted,0.391304347826087,0.34782608695652173,0.2608695652173913
interrupting,0.3333333333333333,0.3333333333333333,0.3333333333333333
interruption,0.4,0.2,0.4
interval,0.2777777777777778,0.5,0.2222222222222222
intervals,0.1111111111111111,0.5555555555555556,0.3333333333333333
interview,0.2857142857142857,0.42857142857142855,0.2857142857142857
intimacy,0.525,0.225,0.25
intimate,0.27586206896551724,0.3103448275862069,0.41379310344827586
intimately,0.1111111111111111,0.4444444444444444,0.4444444444444444
introduce,0.5333333333333333,0.13333333333333333,0.3333333333333333
introduced,0.25806451612903225,0.45161290322580644,0.2903225806451613
introducing,0.625,0.125,0.25
introduction,0.47058823529411764,0.35294117647058826,0.17647058823529413
invalid,0.5,0.375,0.125
invaluable,0.3333333333333333,0.3333333333333333,0.3333333333333333
invitation,0.3181818181818182,0.19696969696969696,0.48484848484848486
invitations,0.5,0.3333333333333333,0.16666666666666666
invite,0.7368421052631579,0.21052631578947367,0.05263157894736842
invited,0.38461538461538464,0.2564102564102564,0.358974358974359
inviting,0.3333333333333333,0.3333333333333333,0.3333333333333333
involve,0.2,0.6,0.2
involved,0.3333333333333333,0.3333333333333333,0.3333333333333333
irrational,0.3333333333333333,0.3333333333333333,0.3333333333333333
irresistible,0.36363636363636365,0.36363636363636365,0.2727272727272727
irresolute,0.4,0.4,0.2
irritable,0.25,0.25,0.5
irritation,0.5714285714285714,0.2857142857142857,0.14285714285714285
january,0.4166666666666667,0.08333333333333333,0.5
jealous,0.2,0.3333333333333333,0.4666666666666667
jealousy,0.4,0.5,0.1
joined,0.37777777777777777,0.2222222222222222,0.4
journey,0.2894736842105263,0.13157894736842105,0.5789473684210527
justice,0.45098039215686275,0.27450980392156865,0.27450980392156865
justified,0.4166666666666667,0.16666666666666666,0.4166666666666667
keeping,0.7333333333333333,0.2,0.06666666666666667
knowledge,0.34210526315789475,0.2894736842105263,0.3684210526315789
labour,0.6666666666666666,0.16666666666666666,0.16666666666666666
ladies,0.42718446601941745,0.2524271844660194,0.32038834951456313
lamenting,0.4,0.4,0.2
language,0.36,0.24,0.4
laughed,0.42424242424242425,0.09090909090909091,0.48484848484848486
laughing,0.5,0.21875,0.28125
leading,0.5,0.3125,0.1875
leaning,0.14285714285714285,0.2857142857142857,0.5714285714285714
learned,0.2222222222222222,0.4444444444444444,0.3333333333333333
leave,0.3503184713375796,0.2802547770700637,0.36942675159235666
leaves,0.16666666666666666,0.3333333333333333,0.5
leaving,0.23255813953488372,0.27906976744186046,0.4883720930232558
leisure,0.41379310344827586,0.13793103448275862,0.4482758620689655
lessened,0.2222222222222222,0.5555555555555556,0.2222222222222222
lessening,0.14285714285714285,0.7142857142857143,0.14285714285714285
liable,0.5,0.3333333333333333,0.16666666666666666
liberal,0.5294117647058824,0.11764705882352941,0.35294117647058826
liberality,0.18181818181818182,0.2727272727272727,0.5454545454545454
likelihood,0.4,0.2,0.4
likeness,0.9090909090909091,0.045454545454545456,0.045454545454545456
likewise,0.12903225806451613,0.06451612903225806,0.8064516129032258
limited,0.42857142857142855,0.2857142857142857,0.2857142857142857
lingering,0.2,0.4,0.4
listened,0.375,0.4,0.225
listener,0.25,0.5,0.25
listening,0.2916666666666667,0.375,0.3333333333333333
looked,0.4690721649484536,0.21649484536082475,0.31443298969072164
looking,0.5535714285714286,0.26785714285714285,0.17857142857142858
lowering,0.2,0.2,0.6
maintained,0.2727272727272727,0.18181818181818182,0.5454545454545454
maintenance,0.4,0.2,0.4
manage,0.7142857142857143,0.14285714285714285,0.14285714285714285
management,0.3333333333333333,0.3333333333333333,0.3333333333333333
mansion,0.2,0.6,0.2
marriage,0.3238095238095238,0.2571428571428571,0.41904761904761906
marriages,0.2,0.4,0.4
married,0.37815126050420167,0.20168067226890757,0.42016806722689076
material,0.4,0.2,0.4
materially,0.3076923076923077,0.15384615384615385,0.5384615384615384
matrimony,0.7272727272727273,0.09090909090909091,0.18181818181818182
meaning,0.5517241379310345,0.25862068965517243,0.1896551724137931
meanwhile,0.75,0.125,0.125
measure,0.4375,0.125,0.4375
measures,0.2,0.4,0.4
mechanically,0.3333333333333333,0.3333333333333333,0.3333333333333333
medicine,0.3333333333333333,0.3333333333333333,0.3333333333333333
medium,0.5,0.25,0.25
meeting,0.4642857142857143,0.25,0.2857142857142857
meetings,0.5,0.3333333333333333,0.16666666666666666
melancholy,0.32432432432432434,0.10810810810810811,0.5675675675675675
mention,0.4222222222222222,0.26666666666666666,0.3111111111111111
mentioned,0.4482758620689655,0.22413793103448276,0.3275862068965517
mentioning,0.4166666666666667,0.25,0.3333333333333333
message,0.47619047619047616,0.14285714285714285,0.38095238095238093
michaelmas,0.125,0.375,0.5
minute,0.42857142857142855,0.22857142857142856,0.34285714285714286
minutes,0.42063492063492064,0.20634920634920634,0.373015873015873
mischievous,0.3333333333333333,0.3333333333333333,0.3333333333333333
misconduct,0.4444444444444444,0.1111111111111111,0.4444444444444444
miserable,0.47619047619047616,0.047619047619047616,0.47619047619047616
misfortune,0.4166666666666667,0.16666666666666666,0.4166666666666667
mistake,0.4827586206896552,0.1724137931034483,0.3448275862068966
mistaken,0.42,0.18,0.4
misunderstood,0.5,0.25,0.25
moderate,0.5454545454545454,0.09090909090909091,0.36363636363636365
moderation,0.4,0.2,0.4
momentary,0.35714285714285715,0.5,0.14285714285714285
morality,0.25,0.25,0.5
moreover,0.29411764705882354,0.35294117647058826,0.35294117647058826
mortified,0.7,0.1,0.2
mortifying,0.5555555555555556,0.2222222222222222,0.2222222222222222
motherinlaws,0.3333333333333333,0.3333333333333333,0.3333333333333333
motion,0.5,0.4,0.1
motive,0.3333333333333333,0.3333333333333333,0.3333333333333333
motives,0.42857142857142855,0.14285714285714285,0.42857142857142855
mourning,0.2222222222222222,0.6666666666666666,0.1111111111111111
musical,0.7,0.05,0.25
mutual,0.19230769230769232,0.23076923076923078,0.5769230769230769
narration,0.3333333333333333,0.16666666666666666,0.5
natural,0.5,0.20588235294117646,0.29411764705882354
