,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
aggrandise,1.0,,
aggrandizement,,,1.0
aggravation,,3.0,1.0
aggression,1.0,,
aghast,1.0,,
agitate,1.0,,1.0
agitated,9.0,3.0,2.0
agitatedvery,1.0,,
agitating,1.0,,
agitation,16.0,14.0,17.0
agitations,,4.0,
ago,27.0,16.0,14.0
agobut,,,1.0
agoemma,1.0,,
agohow,1.0,,
agonies,,,2.0
agony,2.0,6.0,8.0
agoshe,1.0,,
agothat,1.0,,
agowhat,1.0,,
agree,15.0,7.0,6.0
agreeable,50.0,38.0,24.0
agreeableness,2.0,,
agreeablewant,,,1.0
agreeably,5.0,,
agreed,21.0,15.0,9.0
agreeing,4.0,1.0,1.0
agreement,1.0,2.0,2.0
agrees,2.0,,
agricultural,1.0,,
agriculture,1.0,,
ah,41.0,9.0,8.0
ahead,1.0,,
ahindeed,1.0,,
ahnohave,,,1.0
ahshaking,1.0,,
ahso,1.0,,
ahwellto,1.0,,
aid,2.0,2.0,3.0
aids,1.0,,
ailed,,1.0,
ailment,,,2.0
ailments,,1.0,1.0
aim,,,1.0
aimable,1.0,,
aimed,2.0,,2.0
air,45.0,19.0,17.0
aired,1.0,,
airedbut,1.0,,
airing,4.0,,
airnor,,,1.0
airs,3.0,1.0,
airy,2.0,,
airymr,1.0,,
ajar,2.0,,
akin,,1.0,
alacrity,3.0,3.0,2.0
alacrityshe,,1.0,
aladdins,1.0,,
alarm,16.0,6.0,18.0
alarmabout,1.0,,
alarmed,6.0,4.0,3.0
alarmedshe,1.0,,
alarming,6.0,4.0,2.0
alarms,2.0,,1.0
alas,4.0,5.0,
alderneys,1.0,,
alert,3.0,,
alertness,4.0,1.0,
alfresco,1.0,,
alicia,,2.0,
alienable,,1.0,
alienated,,,1.0
alienations,,1.0,
alighted,,,1.0
alike,7.0,4.0,8.0
alive,3.0,4.0,2.0
all,831.0,528.0,647.0
alla,2.0,,
alland,3.0,,
allay,1.0,,
allayed,,1.0,
alleged,,,1.0
allenham,,,18.0
alleviation,2.0,,1.0
alleviations,2.0,,
allfor,,,1.0
allhe,1.0,,
allhere,1.0,,
allhis,,,1.0
alli,1.0,,2.0
alliance,7.0,5.0,
alliances,1.0,1.0,
allied,1.0,,
allies,1.0,,
allnot,1.0,,
allonly,1.0,,
allow,47.0,9.0,26.0
allowable,4.0,1.0,2.0
allowance,2.0,3.0,4.0
allowances,3.0,2.0,2.0
allowed,40.0,15.0,17.0
allowing,4.0,1.0,2.0
alloy,3.0,3.0,1.0
allprice,1.0,,
allshe,,,1.0
allsufficiency,1.0,,
alluded,2.0,3.0,3.0
alluding,2.0,,
