,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
listener,1.0,2.0,1.0
listeners,1.0,1.0,
listening,7.0,9.0,8.0
listlessness,1.0,,
lists,2.0,1.0,
lit,,,2.0
literally,1.0,,
literary,1.0,1.0,
literature,1.0,,1.0
little,361.0,176.0,156.0
littleand,,,1.0
littlefor,,,1.0
littleness,3.0,,
littlenesses,,1.0,
littlenot,,,1.0
littlescarcely,,,1.0
live,17.0,14.0,36.0
lived,25.0,19.0,19.0
livedvery,,,1.0
liveliest,1.0,,
livelihood,1.0,,
liveliness,4.0,,
livelinessoften,,,1.0
lively,12.0,6.0,12.0
livery,,4.0,
lives,6.0,8.0,7.0
living,18.0,22.0,32.0
livingay,,,1.0
livingcan,,,1.0
livingit,,,1.0
livings,,,2.0
lobby,,1.0,2.0
local,3.0,,1.0
lock,1.0,,9.0
lockall,,,1.0
locked,1.0,,
lodge,,5.0,
lodged,2.0,,
lodgers,,1.0,
lodges,,,1.0
lodging,,1.0,2.0
lodginghouse,,1.0,
lodgings,1.0,11.0,3.0
lofty,,1.0,
loin,3.0,,
loitered,,,1.0
loitering,,1.0,
lombardy,,,1.0
london,45.0,14.0,34.0
londonand,,,1.0
loneliness,1.0,,
lonely,1.0,,
long,142.0,94.0,102.0
longed,6.0,4.0,3.0
longer,56.0,26.0,51.0
longerand,1.0,,
longerbut,1.0,,
longerhe,1.0,,
longernay,,,1.0
longerno,,,1.0
longest,2.0,1.0,2.0
longestablished,,,1.0
longestsighted,1.0,,
longexpected,,,1.0
longing,4.0,,
longpetted,,1.0,
longstanding,2.0,,
longstaple,,,8.0
longwas,1.0,,
look,114.0,56.0,68.0
lookand,2.0,,
lookdid,1.0,,
looked,91.0,42.0,61.0
lookhow,1.0,,
looking,62.0,30.0,20.0
lookingglasses,,2.0,
lookout,2.0,,
looks,25.0,14.0,17.0
looksbeautiful,1.0,,
looksi,2.0,,
looksmr,1.0,,
loose,,,1.0
lord,6.0,9.0,27.0
lords,2.0,,1.0
lose,19.0,7.0,4.0
loser,1.0,,
losing,5.0,2.0,1.0
loss,22.0,8.0,19.0
losses,1.0,,
losshe,,,1.0
lossif,1.0,,
lost,20.0,18.0,20.0
lostbut,1.0,,
lot,1.0,3.0,3.0
loth,1.0,,
loud,5.0,,5.0
louder,3.0,,
loudly,3.0,,
loudness,1.0,,
louisa,,99.0,
louisas,,12.0,
louise,,1.0,
lounging,,,1.0
love,114.0,41.0,76.0
lovebut,1.0,,
lovechild,,,1.0
loved,26.0,16.0,16.0
lovedyes,1.0,,
loveevery,1.0,,
loveliest,,1.0,
loveliness,3.0,,
lovely,11.0,5.0,4.0
lovemore,1.0,,
lover,6.0,,9.0
lovers,3.0,,4.0
loversand,,,1.0
loverthe,1.0,,
loves,9.0,2.0,5.0
lovesong,,1.0,
loving,,1.0,1.0
low,18.0,15.0,24.0
lower,5.0,5.0,3.0
lowered,,,2.0
lowering,1.0,1.0,3.0
lowest,1.0,1.0,
lowfrank,1.0,,
lowly,1.0,,
lowness,,2.0,1.0
lowspirited,,,1.0
lowyou,,,1.0
loyalty,,1.0,
luck,9.0,7.0,3.0
luckiest,3.0,,
luckily,,1.0,7.0
lucky,8.0,6.0,10.0
luckyfor,1.0,,
luckymarrying,1.0,,
luckyour,1.0,,
lucy,,,157.0
lucypoor,,,1.0
lucys,,,26.0
lucyshe,,,1.0
lucytheres,,,1.0
lungs,1.0,,
lurking,1.0,,1.0
lustily,,,1.0
luxuriant,,1.0,
luxuries,1.0,,
luxurious,3.0,,1.0
luxury,4.0,,2.0
lying,,2.0,2.0
lyingin,,,1.0
lyme,,67.0,
m,1.0,1.0,
maam,10.0,11.0,32.0
maamand,1.0,,
maamant,,,1.0
maambut,,,1.0
maamshe,,,2.0
maamthe,,,1.0
mab,,,1.0
machines,,1.0,
mackenzie,,1.0,
maclean,,1.0,
mad,9.0,1.0,
madam,13.0,2.0,8.0
madame,1.0,,
madbut,2.0,,
made,198.0,96.0,137.0
madeira,1.0,,
madewhat,,,1.0
madness,4.0,1.0,1.0
mafrom,,,1.0
magistrate,1.0,,
magistrates,1.0,,
magna,,,11.0
magnanimity,,,1.0
magnificent,2.0,,3.0
magnified,1.0,,
mahogany,,1.0,
maid,11.0,1.0,7.0
maids,,1.0,5.0
maidservant,,1.0,
mailsit,1.0,,
main,2.0,,
mainly,,1.0,
maintain,4.0,1.0,
maintained,3.0,2.0,6.0
maintainedor,1.0,,
maintaining,1.0,5.0,
maintenance,2.0,1.0,2.0
make,149.0,88.0,139.0
makeand,1.0,,
makebelieve,,,1.0
makecannot,1.0,,
makes,18.0,6.0,6.0
makeshe,1.0,,
making,50.0,23.0,23.0
makingup,1.0,,
malady,,,1.0
male,1.0,1.0,
malevolence,,,1.0
malice,,,2.0
maliceat,,,1.0
malignant,,,1.0
mall,,,2.0
malt,1.0,,
mama,1.0,,14.0
mamas,1.0,,
mamma,,7.0,10.0
mammas,,2.0,
man,209.0,123.0,114.0
manage,5.0,1.0,1.0
managed,1.0,,2.0
management,1.0,1.0,1.0
manager,,,1.0
managing,,1.0,
manan,1.0,,
manand,1.0,,2.0
manbut,2.0,1.0,
manbutin,1.0,,
manchesterstreetwas,1.0,,
mangood,,1.0,
manher,,,1.0
mania,1.0,,
manit,1.0,,
mankind,,1.0,1.0
manly,,1.0,3.0
manner,74.0,43.0,56.0
manners,52.0,33.0,34.0
mannersand,1.0,,
mannerthis,1.0,,
manoeuvred,,1.0,
manoeuvres,,1.0,
manoeuvring,1.0,,
manofwar,,2.0,
manor,1.0,1.0,1.0
mans,18.0,7.0,1.0
manservant,,,1.0
mansion,1.0,3.0,1.0
mansionhouse,,2.0,4.0
mantel,,1.0,
mantelpiece,2.0,,3.0
manthat,1.0,,
manthere,,,1.0
manthought,1.0,,
many,137.0,85.0,99.0
manyby,,,1.0
manyou,,,1.0
manyperhaps,1.0,,
maple,30.0,,
maps,1.0,,
mar,,1.0,
march,1.0,1.0,3.0
mare,2.0,,1.0
margaret,,,32.0
margarets,,,3.0
marianne,,,490.0
mariannenor,,,1.0
marianneremember,,,1.0
mariannes,,,71.0
mariannethen,,,1.0
mark,3.0,3.0,6.0
marked,3.0,4.0,6.0
market,1.0,2.0,
marking,3.0,1.0,1.0
marks,3.0,,
marlborough,,5.0,2.0
marlboroughcried,,,1.0
marmalade,,,1.0
marmion,,1.0,
marriage,34.0,27.0,44.0
marriages,1.0,2.0,2.0
married,45.0,24.0,50.0
marriedand,,,1.0
marriedmarried,,,1.0
marriedwell,,,1.0
marries,4.0,,1.0
marry,60.0,26.0,29.0
marryi,1.0,,
marrying,24.0,8.0,14.0
marryingthe,1.0,,
marryno,1.0,,
marrythis,1.0,,
marryyou,1.0,,
marshal,,1.0,
martha,,,1.0
martin,71.0,,
martins,26.0,,
martinshe,1.0,,
mary,,121.0,2.0
marys,,18.0,
mass,,,1.0
master,13.0,5.0,
masters,2.0,,1.0
mat,1.0,,
match,25.0,20.0,15.0
matched,1.0,,
matches,6.0,,
matchi,1.0,,
matchmaker,,1.0,
matchmaking,6.0,,
material,12.0,6.0,12.0
materially,4.0,2.0,7.0
materials,,2.0,
maternal,1.0,,2.0
mathematician,1.0,,
matrimonial,2.0,,
matrimony,8.0,1.0,2.0
matter,30.0,21.0,47.0
matterha,1.0,,
matteroffact,1.0,,
matters,10.0,8.0,9.0
mattingmy,1.0,,
mature,,1.0,
maturity,,1.0,
maxim,,,1.0
maxims,,,1.0
may,221.0,87.0,173.0
md,,,3.0
me,546.0,188.0,423.0
meabsurd,1.0,,
meadow,,2.0,
meadows,4.0,,1.0
meal,3.0,,1.0
meals,2.0,,1.0
mealshe,1.0,,
mean,55.0,23.0,37.0
meanbut,2.0,,
meand,2.0,,
meanif,,,1.0
meaning,32.0,15.0,11.0
meanly,1.0,,
meanmistake,1.0,,
meanmy,,,2.0
meanness,,,3.0
means,48.0,21.0,37.0
meansaid,,,1.0
meansit,,,1.0
meanspirited,,,1.0
meant,42.0,16.0,19.0
meantand,1.0,,
meantime,,,1.0
meantit,,,1.0
meanwhat,1.0,,
meanwhile,6.0,1.0,1.0
measles,4.0,,
measure,7.0,2.0,7.0
measureand,,,1.0
measured,1.0,,1.0
measures,2.0,4.0,4.0
measuring,1.0,,2.0
meat,2.0,1.0,1.0
mebut,3.0,,1.0
mechanically,1.0,1.0,1.0
meconsider,1.0,,
medals,1.0,,
mediation,,,2.0
medical,1.0,1.0,
medicine,1.0,1.0,1.0
medicines,,,2.0
mediocre,1.0,,
meditated,2.0,,2.0
meditating,1.0,1.0,
meditation,,1.0,3.0
meditations,1.0,,3.0
mediterranean,,1.0,
medium,2.0,1.0,1.0
medley,1.0,,
medo,1.0,,
meet,32.0,24.0,22.0
meeting,39.0,21.0,24.0
meetingand,,,1.0
meetings,6.0,4.0,2.0
meets,1.0,,
meher,,,1.0
mehow,1.0,,
mei,9.0,,5.0
meimagine,1.0,,
mein,1.0,,1.0
meis,,,1.0
meit,2.0,,4.0
melancholy,12.0,4.0,21.0
melodies,1.0,,
memay,,,1.0
member,,1.0,
meme,1.0,,
memento,,,1.0
memiss,1.0,,
memoirs,,1.0,
memorable,,,1.0
memorandum,1.0,,
memorandums,1.0,1.0,
memorial,1.0,,
memory,10.0,6.0,3.0
men,31.0,31.0,20.0
mend,1.0,1.0,1.0
menever,1.0,,
mennomy,,,1.0
meno,1.0,,1.0
menot,1.0,,1.0
mens,1.0,,3.0
mental,2.0,4.0,1.0
mention,19.0,12.0,14.0
mentioned,26.0,13.0,19.0
mentioning,5.0,3.0,4.0
menwhat,1.0,,
meoh,3.0,,1.0
mercantile,1.0,,
merchandise,,1.0,
merchant,1.0,,
merciful,,1.0,
mercy,3.0,1.0,2.0
mere,16.0,11.0,8.0
merely,27.0,10.0,22.0
merest,1.0,,2.0
merged,,1.0,
merit,13.0,4.0,13.0
merited,,,1.0
meritedthe,1.0,,
meritorious,,,1.0
merits,7.0,5.0,9.0
meritsince,1.0,,
mermaid,2.0,,
mermaids,1.0,,
merrier,,,1.0
merriment,2.0,,1.0
merry,2.0,3.0,4.0
message,10.0,3.0,8.0
messages,1.0,,1.0
messenger,2.0,,2.0
met,38.0,27.0,24.0
metaphor,,,1.0
methat,1.0,,2.0
methis,1.0,,
method,3.0,2.0,4.0
methodicalbefore,1.0,,
methods,,1.0,
metwinkling,1.0,,
mewhat,1.0,,1.0
meyes,1.0,,
meyou,1.0,,1.0
michaelmas,1.0,3.0,4.0
mickleham,1.0,,
midday,1.0,,
middle,10.0,2.0,5.0
middleton,,,87.0
middletons,,,33.0
middletonss,,,1.0
middling,1.0,,
midnight,1.0,,
midshipmen,,2.0,
midst,7.0,3.0,2.0
midsummer,4.0,,2.0
might,325.0,166.0,215.0
mightily,,1.0,
mighty,1.0,,1.0
mightyou,1.0,,
mild,4.0,1.0,1.0
milder,1.0,,
mildest,1.0,,
mildness,1.0,2.0,3.0
mile,11.0,5.0,4.0
miles,16.0,12.0,10.0
milesnay,1.0,,
military,1.0,1.0,
militate,,,1.0
militated,,,1.0
militia,2.0,,
milkmen,,1.0,
mill,4.0,,
million,2.0,1.0,
milmans,1.0,,
milsom,,5.0,
mimic,1.0,,
minced,1.0,,
mind,123.0,64.0,98.0
mindand,,,1.0
mindbut,2.0,,
minded,,1.0,
mindful,,1.0,1.0
mindit,1.0,,
mindlook,1.0,,
mindoh,,,1.0
minds,4.0,3.0,1.0
mindto,1.0,,
mine,24.0,10.0,17.0
mineand,1.0,,1.0
minehead,,1.0,
mineshe,1.0,,
mingle,,,1.0
miniature,,1.0,2.0
miniatures,1.0,,
minister,1.0,,
minor,1.0,,1.0
minority,1.0,,
minute,15.0,8.0,12.0
minutely,,,1.0
minuteness,,,1.0
minuter,,,2.0
minutes,53.0,26.0,47.0
minutesand,1.0,,
minutiae,,3.0,1.0
miracle,,,1.0
mirrors,,1.0,
mirth,1.0,2.0,4.0
misapplied,,,1.0
misapply,1.0,,
misapprehension,,1.0,4.0
misbehave,1.0,,
mischance,,1.0,
mischief,5.0,4.0,
mischievous,1.0,1.0,1.0
misconceived,,1.0,
misconception,1.0,,
misconceptions,1.0,,
misconduct,4.0,1.0,4.0
misconstruction,,1.0,1.0
misconstructions,,1.0,
misconstrued,1.0,,
miserable,10.0,1.0,10.0
miserableand,,,1.0
miserableit,1.0,,
miserableoh,,,1.0
miserably,3.0,1.0,
misery,13.0,10.0,28.0
misfortune,5.0,2.0,5.0
misfortunes,1.0,1.0,
misfortunewith,1.0,,
misinformed,,,1.0
misinterpreted,2.0,,
misjudging,1.0,,
misjudgment,1.0,,
misled,2.0,3.0,1.0
miss,587.0,125.0,209.0
missed,8.0,2.0,6.0
misses,1.0,1.0,1.0
missing,3.0,1.0,
misspent,1.0,,
mistake,14.0,5.0,10.0
mistaken,21.0,9.0,20.0
mistakenand,1.0,,
mistakenit,,,1.0
mistakes,1.0,,1.0
mistakewhat,1.0,,
mistaking,,1.0,
mistress,10.0,6.0,11.0
mistresses,1.0,,
mistresss,1.0,1.0,2.0
mistrust,,,1.0
misty,,1.0,
misunderstand,1.0,,
misunderstanding,1.0,,
misunderstandings,4.0,,
misunderstood,2.0,1.0,1.0
misuse,,1.0,
mitchells,1.0,,
mix,4.0,,4.0
mixed,5.0,2.0,
mixing,,,2.0
mixingand,1.0,,
mixture,8.0,1.0,
moan,,,1.0
mock,1.0,,
mode,1.0,,2.0
model,4.0,3.0,
moderate,6.0,1.0,4.0
moderately,4.0,,
moderatesized,1.0,1.0,
moderation,2.0,1.0,2.0
modern,5.0,2.0,2.0
modernbuilt,,,1.0
modes,2.0,2.0,
modest,3.0,4.0,2.0
modestest,,,1.0
modestly,1.0,,
modesty,1.0,2.0,3.0
modify,,1.0,
mohrs,,,1.0
moiety,,,1.0
mollands,,1.0,
moment,103.0,60.0,85.0
momentafter,1.0,,
momentary,5.0,7.0,2.0
momentbut,2.0,,1.0
momenthis,1.0,,
momenthow,1.0,,
momenti,1.0,,
momentmy,1.0,,
momentor,1.0,,
moments,22.0,24.0,28.0
momentsbut,,,1.0
momentsfor,,,1.0
momentyour,,,1.0
monarch,3.0,,
monday,2.0,3.0,2.0
money,9.0,16.0,25.0
moneyhe,1.0,,
moneytwo,,1.0,
monkey,,,1.0
monkford,,8.0,
monopolize,,,1.0
monstrous,,,11.0
month,11.0,8.0,4.0
monthmerely,1.0,,
months,30.0,17.0,33.0
monthsand,,,1.0
monthscried,,,1.0
monthshave,,,1.0
monthshe,,,1.0
monthsto,1.0,,
mood,,1.0,1.0
moonlight,2.0,,1.0
moral,1.0,2.0,
moralised,1.0,,
moralising,1.0,,
moralists,,2.0,
morality,1.0,1.0,2.0
more,463.0,273.0,404.0
moreand,1.0,,1.0
moreas,,,1.0
moreover,5.0,6.0,6.0
morethey,1.0,,
morley,,1.0,
morning,100.0,59.0,81.0
morningand,1.0,,
morningdo,1.0,,
morningdropt,1.0,,
morninghe,,,1.0
morningi,1.0,,1.0
morningno,1.0,,
morningroom,1.0,,
mornings,4.0,,5.0
morningwe,1.0,,
morrow,6.0,5.0,1.0
morrowactually,,1.0,
morrows,1.0,1.0,
mortalsfrank,1.0,,
mortgage,,1.0,
mortification,11.0,5.0,
mortificationbut,,,1.0
mortifications,1.0,2.0,
mortified,7.0,1.0,2.0
mortifieddisappointed,1.0,,
mortify,1.0,1.0,2.0
mortifying,5.0,2.0,2.0
morton,,,14.0
mortons,,,3.0
mosquitoes,,,1.0
moss,,,1.0
most,247.0,123.0,154.0
mostly,1.0,,
mother,52.0,32.0,200.0
motherhow,,,1.0
motheri,,,1.0
motherindeed,1.0,,
motherinlaw,2.0,,8.0
motherinlaws,1.0,1.0,1.0
motherly,2.0,,1.0
motheror,1.0,,
mothers,15.0,9.0,49.0
motherwill,,,1.0
motion,5.0,4.0,1.0
motionless,1.0,,2.0
motive,9.0,9.0,9.0
motives,6.0,2.0,6.0
motto,1.0,1.0,
mottoprincipal,,1.0,
moundthere,,,1.0
mount,1.0,,
mountainash,,,1.0
mountains,,1.0,
mounted,1.0,,1.0
mounts,1.0,,
mourneronly,,1.0,
mournful,1.0,,
mourning,2.0,6.0,1.0
mouth,4.0,2.0,3.0
mouthi,1.0,,
mouths,,1.0,
move,18.0,9.0,3.0
moved,7.0,7.0,9.0
movehe,1.0,,
movement,1.0,,
movements,1.0,1.0,
moves,2.0,,
moving,9.0,3.0,4.0
mpbut,,,1.0
mr,1124.0,255.0,178.0
mrs,687.0,291.0,526.0
mrsmrs,,,1.0
much,474.0,205.0,287.0
muchand,,,1.0
muchbut,2.0,,
muchfor,1.0,,1.0
muchhe,1.0,,
muchi,,,1.0
muchit,1.0,,
mud,1.0,,
muff,,,1.0
muffin,1.0,,
muffinmen,,1.0,
mulberry,,,1.0
mulberrytree,,,1.0
mule,1.0,,
multiplicity,1.0,,
multiplied,2.0,,
multiply,,1.0,
multitude,,1.0,
murmur,,1.0,
murmured,1.0,,
murmurings,,,1.0
murmurs,1.0,,
musgrove,,111.0,
musgroves,,60.0,
music,22.0,7.0,18.0
musical,14.0,1.0,5.0
musician,2.0,1.0,
musicnever,1.0,,
musicpassionately,1.0,,
musicsellers,,,1.0
musing,3.0,,
musings,,2.0,
muslin,1.0,,1.0
muslins,1.0,,
must,567.0,228.0,282.0
mustered,1.0,,
mustnot,1.0,,
mustyes,1.0,,
mute,1.0,,
muttered,,,1.0
muttering,2.0,,
mutterings,1.0,,
mutton,3.0,,1.0
mutual,5.0,6.0,15.0
mutually,3.0,,1.0
my,718.0,222.0,614.0
mypresent,,1.0,
myself,98.0,31.0,100.0
myselfbut,1.0,,
myselfexcept,1.0,,
myselfi,1.0,,1.0
myselfthat,1.0,,
myselfthe,1.0,,
myselfwhat,,,1.0
myselfyour,,,1.0
mysterious,,,1.0
mysteriously,1.0,,1.0
mystery,4.0,1.0,1.0
n,1.0,,
nabobs,,,1.0
nailed,1.0,,
naivete,4.0,,
name,55.0,41.0,43.0
named,10.0,3.0,1.0
namei,1.0,,
nameless,,1.0,2.0
names,4.0,8.0,2.0
naming,3.0,,1.0
nancy,,,6.0
nancycould,,,1.0
narration,2.0,1.0,3.0
narrative,1.0,,
narratives,,1.0,
narrator,,,1.0
narrow,4.0,1.0,4.0
narrower,1.0,,
narrowly,,,2.0
narrowminded,,,1.0
nash,13.0,,
nasty,,,1.0
nation,,3.0,
national,,1.0,
native,5.0,1.0,
natural,51.0,21.0,30.0
naturaland,1.0,,
naturally,14.0,6.0,13.0
nature,37.0,25.0,23.0
naturebut,,,1.0
natured,2.0,,
natureshe,,,1.0
naturethati,,,1.0
naval,,6.0,
navy,,13.0,1.0
nay,9.0,10.0,8.0
near,44.0,45.0,32.0
nearand,1.0,,
nearer,9.0,4.0,7.0
nearest,1.0,3.0,4.0
nearly,14.0,15.0,8.0
nearmiss,1.0,,
neat,6.0,2.0,2.0
neatly,1.0,,
neatness,,1.0,
necessaries,,1.0,
necessarily,6.0,2.0,3.0
necessary,35.0,14.0,29.0
necessaryi,1.0,,
necessitousalways,,,1.0
necessity,10.0,9.0,18.0
neck,,1.0,4.0
need,42.0,20.0,17.0
needed,2.0,1.0,6.0
needful,,1.0,
needle,,,2.0
needless,3.0,,4.0
needlessly,1.0,,
needlework,1.0,,
needs,2.0,2.0,
negative,1.0,2.0,1.0
negatives,1.0,,
neglect,6.0,5.0,4.0
neglected,3.0,2.0,2.0
neglecting,3.0,,
negligence,1.0,,2.0
negligent,5.0,,1.0
negotiation,,1.0,1.0
neighbour,8.0,2.0,3.0
neighbourhood,13.0,14.0,10.0
neighbourhoodhighbury,1.0,,
neighbourhoodlives,1.0,,
neighbouring,,1.0,1.0
neighbourly,,,1.0
neighbours,14.0,8.0,3.0
neighbourshe,1.0,,
neighboursmy,1.0,,
neither,36.0,25.0,45.0
nephew,12.0,,2.0
nephewbut,,,1.0
nephewgave,1.0,,
nephews,5.0,1.0,
nephewsin,1.0,,
neptune,1.0,,
nerve,,,1.0
nerves,6.0,9.0,2.0
nervous,11.0,3.0,5.0
nervously,1.0,,
nervousness,1.0,,
nervousshe,,,1.0
nestled,1.0,,
nests,,,1.0
nettingneedles,,1.0,
nettles,,1.0,1.0
never,346.0,154.0,186.0
neverbless,1.0,,
neverending,,1.0,
nevertheless,,1.0,
new,35.0,25.0,31.0
newer,,,1.0
newest,,1.0,
newformed,,1.0,
newfurnished,,,1.0
newly,1.0,,1.0
newness,,,1.0
news,34.0,9.0,14.0
newsand,1.0,,
newsi,1.0,,
newspaper,1.0,2.0,5.0
newspapermen,,1.0,
newspapers,,3.0,1.0
newton,,,1.0
next,62.0,42.0,51.0
nextthat,,,1.0
nextthe,1.0,,
nice,10.0,11.0,7.0
nicely,5.0,,
nicer,1.0,,
nicest,,,3.0
nicety,1.0,1.0,2.0
niece,18.0,,3.0
nieceentirely,1.0,,
niecemrs,1.0,,
nieces,2.0,,1.0
niecesi,1.0,,
niggardly,,,1.0
night,35.0,23.0,33.0
nighthowever,1.0,,
nightif,1.0,,
nightlet,1.0,,
nights,4.0,2.0,3.0
nightthere,1.0,,
nine,3.0,4.0,1.0
nineandtwenty,,1.0,
nineteen,1.0,6.0,5.0
ninety,1.0,,
ninetynine,1.0,1.0,
ninny,,,1.0
ninth,1.0,,
ninthand,1.0,,
nipped,,,1.0
no,679.0,356.0,548.0
noa,1.0,,
noand,2.0,,
nobility,1.0,3.0,
noble,5.0,2.0,4.0
nobleman,,,1.0
nobly,,,2.0
nobody,67.0,19.0,16.0
nobodys,1.0,,1.0
nobodyvery,1.0,,
nocried,1.0,,
nod,1.0,,
nodded,1.0,2.0,1.0
nodding,3.0,,1.0
nods,1.0,,1.0
noevery,1.0,,
nofar,1.0,,
nohe,3.0,,1.0
nohow,1.0,,
noi,8.0,,
noin,1.0,,
noise,5.0,5.0,7.0
noises,,3.0,
noisier,,,1.0
noisy,2.0,1.0,5.0
noit,1.0,,
nominal,1.0,,1.0
nomrs,1.0,,
noncommissioned,,1.0,
none,28.0,20.0,19.0
nonexistence,1.0,,
nonone,1.0,,
nonor,,,1.0
nonsense,20.0,4.0,1.0
nonsenses,1.0,,
nonsensical,1.0,2.0,1.0
noon,,1.0,2.0
nopray,1.0,,
nor,63.0,39.0,83.0
noreplied,1.0,,
norfolk,,,1.0
norland,,,53.0
north,1.0,6.0,
northeast,1.0,,
northward,,,1.0
northwardbut,1.0,,
nose,,1.0,
nosegay,,1.0,
noshe,1.0,,
not,2120.0,934.0,1236.0
notand,3.0,,
notbut,2.0,,
notch,1.0,,
note,22.0,7.0,15.0
noted,,1.0,
noteno,1.0,,
notes,1.0,,2.0
notesunluckily,,,1.0
notexcept,1.0,,
notfor,2.0,,
nothere,1.0,,
nothing,242.0,138.0,180.0
nothingand,1.0,,
nothingbut,,,1.0
nothingfor,1.0,,
nothingmakes,1.0,,
nothingmeaning,1.0,,
nothingness,,2.0,
nothingnot,1.0,,
nothings,,1.0,
nothingsaying,,1.0,
nothingyou,2.0,,
noti,,,1.0
notice,24.0,19.0,26.0
noticed,1.0,3.0,2.0
noticegone,,,1.0
noticeit,1.0,,
noticeshort,1.0,,
noticeyou,1.0,,
noticing,3.0,1.0,1.0
notill,1.0,,
notion,5.0,1.0,10.0
notions,6.0,8.0,3.0
notis,1.0,,
notit,1.0,,
noto,,,1.0
notoriety,,1.0,
notthat,,,1.0
nought,1.0,,1.0
nourishing,1.0,,
nourishment,,,2.0
novel,,,1.0
novelties,1.0,,
novelty,2.0,3.0,1.0
november,5.0,9.0,1.0
novitiate,1.0,,
now,302.0,158.0,232.0
nowadays,,,1.0
nowat,,,1.0
nowbirth,1.0,,
nowhas,1.0,,
nowhat,1.0,,
nowhe,1.0,,
nowhere,2.0,,
nowi,1.0,,
nowit,1.0,,
nowsaid,1.0,,2.0
nuisance,,,1.0
number,8.0,8.0,8.0
numberonly,1.0,,
numbers,7.0,1.0,
numerous,3.0,2.0,4.0
nuncheon,,,1.0
nurse,2.0,16.0,5.0
nursed,3.0,1.0,
nursery,2.0,2.0,
nurserymaid,,3.0,
nurserymaids,1.0,1.0,
nurses,,,1.0
nursing,,3.0,2.0
nut,,4.0,
nuts,,1.0,
oath,1.0,1.0,1.0
obedience,1.0,,
obediencefor,1.0,,
obedient,,,1.0
obey,,,1.0
obeyed,,2.0,1.0
object,36.0,32.0,36.0
objectand,1.0,,
objectbut,1.0,,
objected,2.0,1.0,1.0
objectif,1.0,,
objecting,1.0,,
objection,13.0,5.0,11.0
objectionable,2.0,,
objectionand,,,1.0
objections,4.0,1.0,7.0
objectmy,,,1.0
objects,7.0,3.0,11.0
obligated,,1.0,
obligation,5.0,,5.0
obligations,,,1.0
oblige,3.0,1.0,2.0
obliged,75.0,30.0,46.0
obligedand,,,1.0
obligedbut,1.0,,
obliging,30.0,6.0,2.0
obligingbut,1.0,,
obligingfor,1.0,,
obligingfrank,1.0,,
obligingis,1.0,,
obligingly,,,2.0
oblivion,,2.0,
obscure,,1.0,
obscurity,2.0,,
obscurityand,1.0,,
observable,1.0,,1.0
observance,2.0,1.0,
observances,,2.0,
observant,2.0,3.0,2.0
observation,12.0,8.0,16.0
observationand,,,1.0
observationhis,1.0,,
observations,7.0,2.0,5.0
observationshe,,,1.0
observe,22.0,11.0,9.0
observed,20.0,17.0,15.0
observedyou,1.0,,
observeoh,1.0,,
observer,2.0,,1.0
observing,6.0,8.0,8.0
observingto,1.0,,
obstacle,1.0,,2.0
obstacles,1.0,,1.0
obstinacy,,1.0,1.0
obstinate,1.0,1.0,1.0
obstructed,,,1.0
obtain,,1.0,3.0
obtained,4.0,,3.0
obtainedwhich,1.0,,
obtaining,1.0,1.0,1.0
obtrudebut,1.0,,
obtruding,1.0,,
obtrusiveness,,1.0,
obviate,1.0,,
obviated,,,1.0
obviating,,,1.0
obviously,,1.0,
occasion,26.0,12.0,27.0
occasional,3.0,1.0,5.0
occasionally,5.0,6.0,2.0
occasioned,4.0,2.0,5.0
occasioning,,1.0,
occasionor,1.0,,
occasions,7.0,2.0,3.0
occasionto,1.0,,
occupation,4.0,5.0,1.0
occupations,1.0,,1.0
occupied,15.0,12.0,2.0
occupiedshe,1.0,,
occupy,7.0,2.0,1.0
occupying,,4.0,
occur,10.0,5.0,7.0
occurred,17.0,11.0,13.0
occurredan,,,1.0
occurreddo,1.0,,
occurregrets,,,1.0
occurrence,2.0,,1.0
occurrences,1.0,,
occurrencethe,1.0,,
occurring,,1.0,
occurs,1.0,1.0,
oclock,7.0,2.0,11.0
oclockarrived,,,1.0
oclockdepend,1.0,,
oclockwhen,,,1.0
octagon,,3.0,
october,2.0,,2.0
octoberbut,,,1.0
octoberformed,1.0,,
octobersecretly,1.0,,
odd,23.0,5.0,9.0
oddbut,1.0,,
oddest,3.0,,1.0
oddi,1.0,,
oddities,1.0,,
oddlooking,,1.0,
oddly,,1.0,
oddtempered,1.0,,
odious,3.0,1.0,1.0
of,4274.0,2568.0,3569.0
ofand,1.0,,1.0
off,97.0,69.0,57.0
offence,5.0,2.0,13.0
offencebut,1.0,,
offencepoor,1.0,,
offences,2.0,,1.0
offenceyou,1.0,,
offend,3.0,1.0,6.0
offended,3.0,1.0,8.0
offendedand,,,1.0
offendedhe,1.0,,
offending,1.0,,4.0
offensive,,2.0,
offer,19.0,6.0,15.0
offered,8.0,5.0,10.0
offering,7.0,5.0,5.0
offers,5.0,1.0,
office,7.0,5.0,6.0
officedoor,1.0,,
officer,1.0,5.0,
officers,,4.0,
offices,2.0,2.0,7.0
official,,1.0,
officiating,1.0,,
officious,1.0,1.0,1.0
officiously,,,1.0
offspring,,1.0,3.0
offvery,1.0,,
ofinferior,1.0,,
ofit,1.0,,
ofmr,1.0,,
ofoh,1.0,,
ofsee,1.0,,
often,91.0,30.0,51.0
